ticker,name,sector,country,currency,slippage_bps,local_id,delisting_date
2HE.DE,"HEALTHEQUITY INC.DL-,0001",Unknown,—,EUR,33,A119D1,
2HL.DE,"HOULIHAN LOKEY A  DL-,001",Unknown,—,EUR,8,A14WN3,
2HP.DE,HEWLETT PACKARD ENTERPRISE,Internet & Software,USA,EUR,19,A140KD,
2HQ0.F,TILRAY BRANDS  NEW O.N.,Unknown,—,EUR,35,A41VMJ,
2I3.F,"CHAMPIONS ONCOLOGY DL-,01",Unknown,—,EUR,44,A14X6S,
2II.F,ITT,Vehicles,USA,EUR,12,A2AJTS,
2IS.F,TRANE TECHNOLOG. PLC DL 1,Machinery & Equipment,Irland,EUR,10,A2P09K,
2IW.F,CHINA AUTOMOT. SYST. INC.,Unknown,—,EUR,50,A41E9M,
2IX.F,"GEORGIA CAPITAL   LS 0,01",Unknown,—,EUR,40,A2JH0G,
2J2.F,FB FINANCIAL CORP.   DL 1,Unknown,—,EUR,21,A2AR4E,
2K3.F,"SI-BONE INC.     DL-,0001",Unknown,—,EUR,37,A2N7LY,
2KD.F,KINDER MORGAN,Oil & Gas,USA,EUR,29,A1H6GK,
2L2.F,"LIMONEIRA CO.      DL-,01",Unknown,—,EUR,45,A0YH5Z,
2LB.F,"IOVANCE BIOTHERAP.DL-,001",Biotech & Nanotech,USA,EUR,50,A2DT49,
2LE1.F,"EUROSEAS LTD     DL -,01",Unknown,—,EUR,16,A2PXCQ,
2LYA.F,HIGH TIDE INC,Unknown,—,EUR,50,A3CMT9,
2M6.DE,"MEDTRONIC PLC    DL-,0001",Healthcare & Medicine,Irland,EUR,20,A14M2J,
2MK.F,KLINGELNBERG AG NA    SF5,Machinery & Equipment,Switzerland,EUR,37,A2JNTA,
2N2A.F,"USA TODAY CO. INC. DL-,01",Print Media,USA,EUR,37,A2PVRP,
