ticker,name,sector,delisting_date,last_price,peak_price,spread_pct,slippage_bps
4MN.F,Minerva Neurosciences Inc,Unknown,2022-06-20,0.37,13.617,0.5,25
4NE1.F,ACCOLADE INC. DL-0001,Unknown,2025-04-08,3.189,46.005,0.5,25
4NM1.F,China Evergrande New Energy Vehicle Group Limited,Unknown,2022-03-18,0.453,7.922,0.5,25
4OR1.F,Organovo Holdings Inc,Unknown,2021-08-18,5.634,35.185,0.5,25
4OWA.F,Maiden Holdings Ltd,Unknown,2025-05-29,0.858,7.372,0.5,25
4PKB.F,LAVA THERAP. B.V. EO-12,Unknown,2025-11-25,1.446,13.446,0.5,25
4TU0.F,FOSTERVILLE SOUTH EXP. A,Unknown,2023-11-23,0.431,3.418,0.5,25
4VN.F,GAN LTD. DL-01,Unknown,2025-05-27,1.713,26.712,0.5,25
4W4.F,LYSOGENE S.A.(PROM.)-30,Unknown,2023-12-05,0.63,3.921,0.5,25
4W6.F,THERADIAG SA EO 101,Unknown,2023-12-27,1.244,3.429,0.5,25
4WC.F,HORIZON BANCORP INC.,Unknown,2023-04-24,9.481,19.602,0.5,25
4ZD.F,PENNEO A/S DK 002,Unknown,2025-03-07,2.141,12.058,0.5,25
510.F,GRAPHEX GROUP SP.ADR/20,Unknown,2025-05-23,1.375,21.16,0.5,25
51KB.F,AVITA Medical Inc,Unknown,2025-05-13,1.314,10.079,0.5,25
53D.F,illimity Bank S.p.A.,Unknown,2025-09-19,4.042,12.968,0.5,25
57LA.F,SONO GROUP NV EO -06,Unknown,2023-07-31,0.19,18.084,0.5,25
59A.F,Atlassian Corp Plc,Unknown,2022-11-29,118.941,398.423,0.5,25
5A4.F,Orion Energy Systems Inc,Unknown,2025-10-22,4.936,95.551,0.5,25
5AH.F,PHX Minerals Inc,Unknown,2025-06-23,3.67,15.729,0.5,25
5CN.F,CNOVA NV EO -05,Unknown,2024-02-13,4.271,12.409,0.5,25
5DA.F,INDIGO BOOKS,Unknown,2024-06-04,1.633,3.408,0.5,25
5DX0.F,QUALTR.INTL. A DL-0001,Unknown,2023-06-27,16.471,46.151,0.5,25
