Code,Name,Isin,Country,Exchange,Currency,Type
K1R,KROMI Logistik AG,DE000A0KFUJ5,Germany,XETRA,EUR,Common Stock
KC4,Kone Corp.,FI0009013403,Germany,XETRA,EUR,Common Stock
KEL,Kellogg Company,US4878361082,Germany,XETRA,EUR,Common Stock
KNIA,Kuehne + Nagel International AG,CH0025238863,Germany,XETRA,EUR,Common Stock
KPN,Koninklijke KPN N.V.,NL0000009082,Germany,XETRA,EUR,Common Stock
KTEK,Katek Se,DE000A2TSQH7,Germany,XETRA,EUR,Common Stock
KU2,KUKA Aktiengesellschaft,DE0006204407,Germany,XETRA,EUR,Common Stock
L1OA,Lloyd Fonds AG,DE000A12UP29,Germany,XETRA,EUR,Common Stock
L60,Highlight Event and Entertainment AG,CH0003583256,Germany,XETRA,EUR,Common Stock
LAR,Lam Research Corporation,US5128071082,Germany,XETRA,EUR,Common Stock
LC8,LC8,SE0010441584,Germany,XETRA,EUR,Common Stock
LDF,Linus Digital Finance AG,DE000A2QRHL6,Germany,XETRA,EUR,Common Stock
LEN,Lenzing Aktiengesellschaft,AT0000644505,Germany,XETRA,EUR,Common Stock
LEO,LEONI AG,DE0005408884,Germany,XETRA,EUR,Common Stock
LMI,LION E-Mobility AG,CH0132594711,Germany,XETRA,EUR,Common Stock
LNSX,Allane SE,DE000A0DPRE6,Germany,XETRA,EUR,Common Stock
LO24,Lotto24 AG,DE000LTT0243,Germany,XETRA,EUR,Common Stock
LO3,Lonza Group Ltd,CH0013841017,Germany,XETRA,EUR,Common Stock
LOUD,DEAG Deutsche Entertainment Aktiengesellschaft,DE000A0Z23G6,Germany,XETRA,EUR,Common Stock
LU2,Lumentum Holdings Inc,US55024U1097,Germany,XETRA,EUR,Common Stock
LUS,Lang & Schwarz Aktiengesellschaft,DE0006459324,Germany,XETRA,EUR,Common Stock
LV2B,LEVI STRAUSS + CO. CL.A,US52736R1023,Germany,XETRA,EUR,Common Stock
M0YN,Mynaric AG,DE000A31C305,Germany,XETRA,EUR,Common Stock
M3B_old,Mic AG,DE000A0KF6S5,Germany,XETRA,EUR,Common Stock
M3BK,Pyramid AG,DE000A254W52,Germany,XETRA,EUR,Common Stock
M4N,Muehlhan AG,DE000A0KD0F7,Germany,XETRA,EUR,Common Stock
M5Z,Manz AG,DE000A0JQ5U3,Germany,XETRA,EUR,Common Stock
