Local_ID,Name,Country,Sector,Bid,Ask
A2JGHF,"MEIRAGTX HLDGSDL-,0000388",,,8.2500 €,8.3000 €
A2N5NR,MEITUAN DIANPING CL.B,Hongkong,Internet & Software,8.5410 €,8.5960 €
A0LF1J,MELCO RESORTS+ENMT SP.ADR,USA,Hospitality and Tourism,4.7600 €,4.8000 €
870346,MERCURY GENL CORP.,USA,Insurance,87.1000 €,87.4500 €
923604,MESA LABS INC.,,,91.0000 €,91.5000 €
892790,"METROPOLE TV INH. EO-,40",France,Others,12.4600 €,12.5400 €
A3EXMP,"MFE-MEDIAFOREU. A EO -,06",,,3.0120 €,3.0420 €
880883,MGM RESSORTS,USA,Hospitality and Tourism,42.2100 €,42.4700 €
923064,MIDSONA AB B 2 SK 5,,,1.3450 €,1.3650 €
851838,MINEBEA CORP. LTD,Japan,Electronics & Semiconductors,23.0000 €,23.2000 €
200455,MIZUHO FINL GRO,Japan,Banking & Finance,40.8000 €,41.4000 €
A0LEKK,MIZUHO FINL GROUP ADR/2,Japan,Banking & Finance,8.3000 €,8.4000 €
869795,"MODINE MFG       DL -,625",,,237.1000 €,237.5000 €
885836,MORGAN STANLEY,USA,Banking & Finance,185.2000 €,185.6000 €
A1JFWK,MOSAIC CORP,USA,Chemistry,19.5600 €,19.6800 €
A2PBD2,MOWI ASA SP.ADR,,,17.8000 €,18.0000 €
A14MJ9,MP3 FASTIGHETER AB (PUBL),,,25.2000 €,25.4000 €
A0J2LX,"MUELLER WAT.PROD.A DL-,01",,,22.2500 €,22.3900 €
A2N40X,NATL BK GREECE NAM.EO 1,,,14.8000 €,14.9650 €
865227,NATL BK OF CDA,Canada,Banking & Finance,129.5000 €,130.2000 €
120159,"NEOGENOMICSINC.  DL-,001",USA,Biotech & Nanotech,9.6020 €,9.6800 €
A3C6XW,"NERDWALLET INC. A -,0001",,,7.3500 €,7.4000 €
938282,"NEURONES SA  NOM. EO 0,40",,,35.3000 €,35.6500 €
A1W03Z,"NEWS CORP. A       DL-,01",USA,Others,22.0000 €,22.2000 €
A1JMSR,NEXANS ADR           EO 1,,,73.0000 €,74.0000 €
622325,"NEXSTAR MEDIA GR.A DL-,01",,,150.7000 €,151.0000 €
A2N4PB,"NIO INC.A S.ADR DL-,00025",China,Vehicles,4.4750 €,4.5150 €
A1W8UB,"NMI HOLDS INC. A  DL -,01",,,32.0000 €,32.2000 €
A115DY,"NN GROUP NV EO -,12",Netherlands,Insurance,73.4000 €,73.6600 €
A40U85,NOBA BK GRP PUBL.AK,,,7.2100 €,7.2900 €
A3DV8N,NOBLE CORP-RIGHTS TO RSU-,,,40.4000 €,40.6000 €
A3ETUJ,NORDIC AQUA PARTERS  NK 1,,,7.3800 €,7.4600 €
867028,NORFOLK SOUTHERN RAILWAY,USA,Transport,271.1000 €,271.7000 €
854009,"NORTHN TRUST CORP.DL1,666",USA,Banking & Finance,150.5500 €,150.8500 €
A2N6X4,NORTHWEST NATURAL HLDG,,,42.9800 €,43.2400 €
A1KBL8,NORWEGIAN CRUISE LINE HL.,Bermudan Islands,Hospitality and Tourism,16.7700 €,16.8700 €
A2QLRE,"NOV INC.    DL-,01",USA,Oil & Gas,18.2000 €,18.3000 €
907122,NOVARTIS NAM. ADR 1,Switzerland,Pharma & Cosmetics,132.0000 €,133.0000 €
866931,NOVO-NORDISK B ADR/1DK 10,,,37.9400 €,38.1400 €
A3C82G,"NU HLDGS  CL.A DL-,000066",,,10.5200 €,10.5400 €
A2NB05,"NUEV.EXP.TEX.INH.EO-,016",,,0.9990 €,1.0060 €
A3D4SC,"OAKTR.SPEC.LEND.NEW -,001",,,10.4300 €,10.4800 €
865291,"OCEANEERG INTL INC.DL-,25",USA,Oil & Gas,34.0000 €,34.2000 €
873204,ODFJELL ASASHS -A-,,,10.4400 €,10.5200 €
A3DH8R,ODFJELL TECHNOLOGYLTD,,,5.6300 €,5.7100 €
588716,"OIL STATES INTEL   DL-,01",USA,Oil & Gas,7.3200 €,7.3800 €
865311,"OIL-DRI CORP. AMER.DL-,10",,,81.5000 €,82.0000 €
883852,OLD NATL BANCORP. IND.,USA,Banking & Finance,21.6000 €,21.8000 €
A14WW1,"OLL.BARG.OUTL.HLD.DL-,001",USA,Department stores & Retail,71.8400 €,72.1200 €
A3C20K,"ON HOLDING AG A SF-,01",,,33.4800 €,33.6800 €
930124,"ON SEMICOND.       DL-,01",USA,Electronics & Semiconductors,100.7600 €,101.1800 €
895701,ORELL FUESS.HLDG NA SF 1,Switzerland,Various services,167.5000 €,169.5000 €
854422,ORICA LTD ORD NPV,,,14.1000 €,14.3000 €
A3C684,"ORION PROPERTIES   DL-,01",,,2.4000 €,2.4200 €
889301,ORVANA MINLS CORP.,,,1.0200 €,1.0300 €
A41EJT,OXFORD LANE CAP. NEW O.N.,,,7.8800 €,7.9400 €
A2QHKZ,OZON HOLDINGS (SP.ADS)/1,,,8.1800 €,8.2000 €
A2JB7S,"PAGSEG. DIG. A DL-,000025",,,7.7500 €,7.8120 €
A1JZ0Q,"PALO ALTO NETWKS DL-,0001",USA,Computer & Network,241.0500 €,241.5500 €
A40GSB,"PARATUS ENER.SVS   DL 4,9",,,4.2900 €,4.3450 €
A0JJY6,"PARTNERS GR.HLDG  SF -,01",Switzerland,Others,765.0000 €,768.6000 €
A1XE9W,"PAYLOCITY HLDG    DL-,001",,,94.0000 €,94.5000 €
A14R7U,"PAYPAL HDGS INC.DL-,0001",USA,Banking & Finance,35.9250 €,35.9950 €
A2PR0M,"PELOTON INTE.A DL-,000025",USA,Others,4.8000 €,4.8400 €
A0Q4ZU,PENNYMAC MRTGE INV. SBI,,,8.7250 €,8.7750 €
A42701,PER.SQU.INC. O.N.,,,28.9000 €,29.1000 €
A1XAEY,"PERRIGO CO. PLCEO -,001",Irland,Pharma & Cosmetics,9.4720 €,9.5300 €
A40EDR,"PERSPECT.THER.NEW DL-,001",,,2.5280 €,2.5540 €
PFSE21,PFISTERER HLDG SE INH ON,,,91.0500 €,91.9000 €
851962,PG + E CORP.,USA,Energy & Water,14.6000 €,14.7000 €
A0YC19,"PGE PL.GR.ENERG. ZY 8,55",Polen,Energy & Water,2.3640 €,2.3840 €
A2JB6Y,PHOTONIKE CAPITAL S.A.,,,1.2900 €,1.3000 €
A1T7JA,PIMCO DYNAMIC INCOME FD,,,14.1080 €,14.1920 €
A140CF,"PJT PARTNERS INC.A DL-,01",,,131.0000 €,132.0000 €
A40B0L,"PLANISWARE CONV.  EO -,01",,,18.2600 €,18.4200 €
867679,PNC FINL SERVICES GRP DL5,USA,Banking & Finance,204.0000 €,206.0000 €
A3DWD8,POET TECHS INC.,,,10.8600 €,11.0000 €
A40SXB,POLAR POWER INC. NEW,,,1.4500 €,1.4700 €
